Name,Story,ImageUrl
Aharen-san wa Hakarenai,"اهارين رينا طالبة صغيرة ولطيفة هادئة سيئة للغاية في تحديد المسافة والمساحة الشخصية. أحيانًا تكون على بعد سنتيمترات من وجهك وفي أوقات أخرى على بعد أميال جدًا الشخص الوحيد الذي يحاول فهم سلوكها الغريب هو ماتسوبوشي ريدو الذي يجلس بجانبها في الفصل.
لديه وجه مخيف لكنه في الواقع فتى لطيف لديه خيال يمكن أن يصبح جامحا في بعض الأحيان. يتبع الانمي هذا الثنائي الغريب حيث تبدأ صداقتهما الغريبة في الازدهار عندما يلتقط ريدو ممحاة اهارين من أجلها.",https://witanime.com/wp-content/uploads/2022/04/Aharen-san-wa-Hakarenai-413x559.jpg
Ahiru no Sora,القصة تتحدث عن الفتى القصير الضعيف المنتقل للتو إلى مدرسة جديدة، سورا كوروماتاني الذي يبلغ طوله 149 سم لكنه رغم ذلك يحب كرة السلة، كان يريد أن يغدو أطول كوالدته التي كانت لاعبة كرة سلة، هل سيتمكن سورا من دخول نادري كرة السلة على الرغم من كل المصاعب؟.,https://witanime.com/wp-content/uploads/2020/07/Ahiru-no-Sora-EP-413x559.jpg
AI no Idenshi,لقصة تتحدث عن طبيب يعالج مشاكل الروبوتات والكائنات البشرية الاصطناعية وتدور في المستقبل القريب حيث تشكل الكائنات البشرية الاصطناعية التي تحتوي على الذكاء الاصطناعي 10% من السكان يُدعى الشخصية الرئيسية دكتور سودو هيكارو ولديه أيضًا اسم سري يُدعى موجاديت يعمل تحت هذا الإسم في إجراءات طبية غير قانونية بشكل سري.,https://witanime.com/wp-content/uploads/2023/07/AI-no-Idenshi-413x559.png
Ai no Utagoe wo Kikasete,"القصة تتحدث عن شيون الجميلة والغامضة التي انتقلت إلى مدرسة كيبو الثانوية حيث سرعان ما أصبحت مشهورة بسبب شخصيتها المتفتحة وموهبتها الرياضية الاستثنائية لكن تحولت إلى أنها ذكاء اصطناعي في مرحلة الاختبار هدف شيون هو جلب السعادة لـ ساتومي المنعزلة ومع ذلك فإن استراتيجيتها هي شيء لا يتوقعه أي بشري عادي فهي تغني لـ ساتومي في منتصف الفصل الدراسي
بعد اكتشاف أن شيون هي ذكاء اصطناعي ساتومي وصديق طفولتها المهووس بالهندسة توما يقومون بمراقبة الطالبة الجديدة بشكل دائم.",https://witanime.com/wp-content/uploads/2022/04/Ai-no-Utagoe-wo-Kikasete-413x559.png
Aiyou de Mishi,عاد يان يوتشو إلى مسقط رأسه للعمل وتكوين صداقات جديدة في مكان عمله في أحد الأيام ذهب إلى غرفة أسرار شو ووجد نفسه منجذبًا بشدة إلى المالكة شو آيو ومع ذلك كان ذلك عندما بدأ يعاني من أوهام غرفة الهروب الغريبة. عندما يتعرف يان يوتشو على شو آيو بدأت المزيد والمزيد من الحوادث من حوله وحتى أصدقائه في عملية حل غرف الهروب وإيجاد العقل المدبر وراء كل هذه الأحداث وجد نفسه تدريجياً يكشف الحقيقة وراء ذكرياته المفقودة.,https://witanime.com/wp-content/uploads/2023/04/Aiyou-de-Mishi-413x559.jpg
Ajin,أجين هم بشر لا يمكنهم الموت ظهروا لأول مرة قبل 17 سنة في معركة في أفريقيا و منذ ذلك الحين تم اكتشاف المزيد منهم بين البشر و من أجل إجراء تجارب عليهم قررت الحكومة إعطاء مكافأة لمن يقبض على احدهم.,https://witanime.com/wp-content/uploads/2021/08/Ajin-scaled-413x559.jpg
Ajin 2nd Season,تكملة لأحداث الموسم الأول.,https://witanime.com/wp-content/uploads/2021/08/Ajin-2nd-Season-413x559.jpg
Akagami no Shirayuki-hime,(( شيرايوكي )) فتاة شابة ولدت بشعر ذا لون مميز كلون التفاح الأحمر . تقابل الأمير (( راجي )) ، أمير مشهور لكنه أحمق ، و الذي يقع في حبها من النظرة الأولى و الذي يأمرها بأن تكون خليلةً له . و لعدم وجود مكان تلجأ إليه ، تقص شعرها و تهرب إلى بلادٍ مجاورة . أثناء عبورها الغابة ، تقابل فتىً يدعى (( زين )) ، و الذي يساعدها بعد أن تعالج جرحه ، لكن (( زين )) يتسمم بتفاحة أُعطيتْ لـ (( شيرايوكي )) من قبل . في هذه الأثناء ، يرسل (( راجي )) أتباعه للبحث عنها . ما الذي سيحدث لـ (( شيرايوكي )) ؟ ما هي شخصية (( زين )) الحقيقية ؟ قصة خيالية مثيرة بين بطلة متفائلة و أمير مواضب على حراستها.,https://witanime.com/wp-content/uploads/2020/11/Akagami-no-Shirayuki-hime-413x559.jpg
Akagami no Shirayuki-hime 2nd Season,الموسم الثاني من الأنمي.,https://witanime.com/wp-content/uploads/2020/11/Akagami-no-Shirayuki-hime-2nd-Season-413x559.jpg
Akame ga Kill!,القصة تتحدث عن المُقـاتل تاتسومي الذي سـافر للعـاصمة لأجل جمع المال من أجل مساعدة قريتِه الفقيرة عند وصوله للعاصمة يتعرض للسرقة ويخسر كل ماله، عندهـا تساعده فتاة من عائِلة نبيلة وتسمح له بالبقاء في منزلها. يتعرض منزل الفتاة للهجوم من قِبل قتلة يسمون أنفسهم الغارة الليلية ومن هنـا تبدأ أحدآث القِصـة.,https://witanime.com/wp-content/uploads/2021/03/Akame-ga-Kill-413x559.jpg
Akatsuki no Yona,القصة تدور حول يونا ذات الستة عشر ربيعًا والأميرة الوحيدة في مملكة كوكا. تعيش يونا حياة سعيدة برفاهية مع والدها الملك إل وخادمها سون هاك وابن عمها الذي تحبه سو-وون. ولكن كل شيء قد تغير في تلك الليلة ليلة عيد ميلادها السادس عشر.,https://witanime.com/wp-content/uploads/2021/03/Akatsuki-no-Yona-413x559.jpg
Akebi-chan no Sailor-fuku,القصة تدور في مدرسة ثانوية مرموقة للفتيات تدعى أكاديمية روبي. لطالما حلمت أكيبي كوميتشي بارتداء زي بحارة المدرسة. وأخيرًا حلمها أصبح حقيقة وانضمت أكيبي للأكاديمية. فوقت الشباب يتدفق ببطء حياة الريف بالإضافة إلى يوميات الحياة المدرسية اليومية بالإضافة إلى بدلات البحارة وسعيها على تكوين مئة صديق.,https://witanime.com/wp-content/uploads/2022/01/Akebi-chan-no-Sailor-fuku-Poster-413x559.jpg
